begin work at,end work at,dist,left,working time,warehouse,Salary per day,Operational cost per day,Total_cost_per_day
64800,73717,25433,0,148,warehouse1,74.0,2.03,76.03
151200,161375,30561,0,169,warehouse1,84.5,2.44,86.94
237600,247782,30938,0,169,warehouse1,84.5,2.48,86.98
324000,330972,21966,0,116,warehouse1,60.0,1.76,61.76
410400,418846,27356,0,140,warehouse1,70.0,2.19,72.19
496800,505187,27862,0,139,warehouse1,69.5,2.23,71.73
583200,591799,29032,0,143,warehouse1,71.5,2.32,73.82
669600,680275,32661,0,177,warehouse1,88.5,2.61,91.11
756000,765047,28437,0,150,warehouse1,75.0,2.27,77.27
842400,851736,29031,0,155,warehouse1,77.5,2.32,79.82
928800,938093,29506,0,154,warehouse1,77.0,2.36,79.36
1015200,1023936,25777,0,145,warehouse1,72.5,2.06,74.56
1101600,1110346,25827,0,145,warehouse1,72.5,2.07,74.57
1188000,1197461,30213,0,157,warehouse1,78.5,2.42,80.92
1274400,1282488,26734,0,134,warehouse1,67.0,2.14,69.14
1360800,1368037,22296,0,120,warehouse1,60.0,1.78,61.78
1447200,1455167,23595,0,132,warehouse1,66.0,1.89,67.89
1533600,1541882,23938,0,138,warehouse1,69.0,1.92,70.92
1620000,1629060,28864,0,151,warehouse1,75.5,2.31,77.81
1706400,1715113,28159,0,145,warehouse1,72.5,2.25,74.75
64800,74355,29506,0,159,warehouse2,79.5,2.36,81.86
151200,160094,26537,2,148,warehouse2,74.0,2.12,76.12
237600,246851,27828,0,154,warehouse2,77.0,2.23,79.23
324000,332900,27056,0,148,warehouse2,74.0,2.16,76.16
410400,421750,32829,0,189,warehouse2,94.5,2.63,97.13
496800,506880,31786,0,168,warehouse2,84.0,2.54,86.54
583200,592797,29261,0,159,warehouse2,79.5,2.34,81.84
669600,676012,19949,0,106,warehouse2,60.0,1.6,61.6
756000,765003,28554,0,150,warehouse2,75.0,2.28,77.28
842400,849922,24370,0,125,warehouse2,62.5,1.95,64.45
928800,937253,24531,0,140,warehouse2,70.0,1.96,71.96
1015200,1023694,27550,0,141,warehouse2,70.5,2.2,72.7
1101600,1109747,24316,0,135,warehouse2,67.5,1.95,69.45
1188000,1197431,27298,0,157,warehouse2,78.5,2.18,80.68
1274400,1285095,30553,0,178,warehouse2,89.0,2.44,91.44
1360800,1368643,23782,0,130,warehouse2,65.0,1.9,66.9
1447200,1457480,31408,0,171,warehouse2,85.5,2.51,88.01
1533600,1542041,25134,0,140,warehouse2,70.0,2.01,72.01
1620000,1627154,21662,0,119,warehouse2,60.0,1.73,61.73
1706400,1714372,24432,0,132,warehouse2,66.0,1.95,67.95
64800,72637,20933,0,130,warehouse3,65.0,1.67,66.67
151200,160940,30026,0,162,warehouse3,81.0,2.4,83.4
237600,246994,27800,0,156,warehouse3,78.0,2.22,80.22
324000,329978,17824,0,99,warehouse3,60.0,1.43,61.43
410400,418294,25056,0,131,warehouse3,65.5,2.0,67.5
496800,504666,25690,0,131,warehouse3,65.5,2.06,67.56
583200,591252,26752,0,134,warehouse3,67.0,2.14,69.14
669600,679715,30327,0,168,warehouse3,84.0,2.43,86.43
756000,764831,27537,0,147,warehouse3,73.5,2.2,75.7
842400,851520,28131,0,152,warehouse3,76.0,2.25,78.25
928800,936949,25006,0,135,warehouse3,67.5,2.0,69.5
1015200,1023408,23977,0,136,warehouse3,68.0,1.92,69.92
1101600,1110080,24559,0,141,warehouse3,70.5,1.96,72.46
1188000,1196381,25713,0,139,warehouse3,69.5,2.06,71.56
1274400,1281468,22482,0,117,warehouse3,60.0,1.8,61.8
1360800,1367592,20444,0,113,warehouse3,60.0,1.64,61.64
1447200,1454824,21569,0,127,warehouse3,63.5,1.73,65.23
1533600,1541578,23008,0,132,warehouse3,66.0,1.84,67.84
1620000,1628876,28054,0,147,warehouse3,73.5,2.24,75.74
1706400,1714454,25459,0,134,warehouse3,67.0,2.04,69.04
64800,73807,25805,0,150,warehouse4,75.0,2.06,77.06
151200,161503,30931,0,171,warehouse4,85.5,2.47,87.97
237600,247011,28450,0,156,warehouse4,78.0,2.28,80.28
324000,331227,23032,0,120,warehouse4,60.0,1.84,61.84
410400,418581,26252,0,136,warehouse4,68.0,2.1,70.1
496800,504791,26214,0,133,warehouse4,66.5,2.1,68.6
583200,591146,26356,0,132,warehouse4,66.0,2.11,68.11
669600,680237,32499,0,177,warehouse4,88.5,2.6,91.1
756000,764693,26961,0,144,warehouse4,72.0,2.16,74.16
842400,851546,28239,0,152,warehouse4,76.0,2.26,78.26
928800,937750,28078,0,149,warehouse4,74.5,2.25,76.75
1015200,1024201,26917,0,150,warehouse4,75.0,2.15,77.15
1101600,1110307,26067,0,145,warehouse4,72.5,2.09,74.59
1188000,1197019,27885,0,150,warehouse4,75.0,2.23,77.23
1274400,1281933,24298,0,125,warehouse4,62.5,1.94,64.44
1360800,1368114,22616,0,121,warehouse4,60.5,1.81,62.31
1447200,1455475,24867,0,137,warehouse4,68.5,1.99,70.49
1533600,1541468,22550,0,131,warehouse4,65.5,1.8,67.3
1620000,1628779,27604,0,146,warehouse4,73.0,2.21,75.21
1706400,1714822,26995,0,140,warehouse4,70.0,2.16,72.16
64800,73357,22549,0,142,warehouse5,71.0,1.8,72.8
151200,161033,28761,0,163,warehouse5,81.5,2.3,83.8
237600,247078,27800,0,157,warehouse5,78.5,2.22,80.72
324000,329899,17498,0,98,warehouse5,60.0,1.4,61.4
410400,418294,25056,0,131,warehouse5,65.5,2.0,67.5
496800,504833,26388,0,133,warehouse5,66.5,2.11,68.61
583200,591125,26356,0,132,warehouse5,66.0,2.11,68.11
669600,679931,31227,0,172,warehouse5,86.0,2.5,88.5
756000,764615,26637,0,143,warehouse5,71.5,2.13,73.63
842400,851520,28131,0,152,warehouse5,76.0,2.25,78.25
928800,936949,25006,0,135,warehouse5,67.5,2.0,69.5
1015200,1023503,23977,0,138,warehouse5,69.0,1.92,70.92
1101600,1110130,25459,0,142,warehouse5,71.0,2.04,73.04
1188000,1196507,26249,0,141,warehouse5,70.5,2.1,72.6
1274400,1281625,23044,0,120,warehouse5,60.0,1.84,61.84
1360800,1367664,20744,0,114,warehouse5,60.0,1.66,61.66
1447200,1454871,21295,0,127,warehouse5,63.5,1.7,65.2
1533600,1541442,22174,0,130,warehouse5,65.0,1.77,66.77
1620000,1628978,28492,0,149,warehouse5,74.5,2.28,76.78
1706400,1714491,25459,0,134,warehouse5,67.0,2.04,69.04
64800,72832,21833,0,133,warehouse6,66.5,1.75,68.25
151200,160914,28761,0,161,warehouse6,80.5,2.3,82.8
237600,247057,28700,0,157,warehouse6,78.5,2.3,80.8
324000,329899,17498,0,98,warehouse6,60.0,1.4,61.4
410400,418353,25302,0,132,warehouse6,66.0,2.02,68.02
496800,504666,25690,0,131,warehouse6,65.5,2.06,67.56
583200,591106,26356,0,131,warehouse6,65.5,2.11,67.61
669600,679715,30327,0,168,warehouse6,84.0,2.43,86.43
756000,764831,27537,0,147,warehouse6,73.5,2.2,75.7
842400,851952,29931,0,159,warehouse6,79.5,2.39,81.89
928800,936979,25006,0,136,warehouse6,68.0,2.0,70.0
1015200,1023790,25231,0,143,warehouse6,71.5,2.02,73.52
1101600,1110208,25459,0,143,warehouse6,71.5,2.04,73.54
1188000,1196519,25985,0,141,warehouse6,70.5,2.08,72.58
1274400,1281493,22482,0,118,warehouse6,60.0,1.8,61.8
1360800,1367448,19844,0,110,warehouse6,60.0,1.59,61.59
1447200,1454833,22195,0,127,warehouse6,63.5,1.78,65.28
1533600,1541456,22538,0,130,warehouse6,65.0,1.8,66.8
1620000,1628532,26782,0,142,warehouse6,71.0,2.14,73.14
1706400,1714886,27000,0,141,warehouse6,70.5,2.16,72.66
64800,73401,22733,0,143,warehouse7,71.5,1.82,73.32
151200,160636,28761,0,157,warehouse7,78.5,2.3,80.8
237600,247083,28170,0,158,warehouse7,79.0,2.25,81.25
324000,330324,19266,0,105,warehouse7,60.0,1.54,61.54
410400,418294,25056,0,131,warehouse7,65.5,2.0,67.5
496800,504666,25690,0,131,warehouse7,65.5,2.06,67.56
583200,591116,26356,0,131,warehouse7,65.5,2.11,67.61
669600,680059,31761,0,174,warehouse7,87.0,2.54,89.54
756000,764615,26637,0,143,warehouse7,71.5,2.13,73.63
842400,851520,28131,0,152,warehouse7,76.0,2.25,78.25
